Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
140," V404 CMa",s,93.98091666666666,-18.747649999999997,"M",0.659,0.005,0.682,0.017,4.59,0.022,3940,20,"*  "," V404 CMa"
145," KL CMa",p,97.62412499999999,-14.954369444444442,"B8V",3.55,0.27,2.37,0.09,4.239,0.047,13200,100,"***"," KL CMa"
146," KL CMa",s,97.62412499999999,-14.954369444444442,"B9V",2.95,0.24,1.7,0.1,4.447,0.062,12250,600,"***"," KL CMa"
131," V1031 Ori",p,86.86204166666666,-10.532958333333331,"A6V",2.281,0.017,4.349,0.034,3.52,0.008,7850,500,"*  "," V1031 Ori"
132," V1031 Ori",s,86.86204166666666,-10.532958333333331,"A3V",2.467,0.018,3.006,0.064,3.875,0.019,8400,500,"*  "," V1031 Ori"
123," V1174 Ori",p,83.61604166666666,-5.693833333333332,"K4.5V",1.01,0.015,1.347,0.015,4.184,0.012,4470,120,"*  "," V1174 Ori"
124," V1174 Ori",s,83.61604166666666,-5.693833333333332,"M1.5V",0.731,0.008,1.071,0.011,4.243,0.01,3615,100,"2  "," V1174 Ori"
177," PV Pup",p,116.36970833333332,-14.686166666666665,"A0V",1.539,0.012,1.536,0.016,4.253,0.01,6920,300,"*  "," PV Pup"
178," PV Pup",s,116.36970833333332,-14.686166666666665,"A2V",1.527,0.014,1.493,0.016,4.274,0.01,6930,300,"*  "," PV Pup"
163," LT CMa",p,106.01091666666665,-12.288158333333332,"B4V",5.591,0.2,3.6,0.07,4.073,0.023,17000,500,"** "," LT CMa"
164," LT CMa",s,106.01091666666665,-12.288158333333332,"B6.5V",3.364,0.14,2.046,0.05,4.343,0.028,13140,800,"** "," LT CMa"
171," FS Mon",p,111.17624999999998,-5.154047222222221,"F2V",1.632,0.012,2.061,0.012,4.023,0.006,6715,100,"*  "," FS Mon"
172," FS Mon",s,111.17624999999998,-5.154047222222221,"F4V",1.462,0.01,1.637,0.012,4.175,0.007,6550,100,"*  "," FS Mon"
185," AI Hya",p,124.69774999999998,0.28337777777777773,"F0IV",1.974,0.04,2.764,0.02,3.851,0.011,7100,60,"*  "," AI Hya"
186," AI Hya",s,124.69774999999998,0.28337777777777773,"F2III-IV",2.14,0.04,3.912,0.03,3.584,0.011,6700,60,"*  "," AI Hya"
161," HI Mon",p,103.95445833333332,-4.0432749999999995,"B0V",11.426,0.241,4.775,0.102,4.138,0.021,30000,500,"*  "," HI Mon"
162," HI Mon",s,103.95445833333332,-4.0432749999999995,"B0.5V",9.864,0.162,4.645,0.065,4.098,0.014,29000,500,"*  "," HI Mon"
157," CoRoT 102932176",p,102.29583333333332,-1.9916666666666665,"F0V",1.58,0.18,1.63,0.05,4.213,0.056,7300,50,"***"," CoRoT 102932176"
158," CoRoT 102932176",s,102.29583333333332,-1.9916666666666665,"K4V",0.64,0.08,0.73,0.02,4.518,0.059,4547,80,"***"," CoRoT 102932176"
151," V501 Mon",p,100.17383333333332,-1.111111111111111,"A6m",1.6455,0.0043,1.888,0.029,4.103,0.013,7510,100,"*  "," V501 Mon"
152," V501 Mon",s,100.17383333333332,-1.111111111111111,"F0",1.4588,0.0025,1.592,0.028,4.198,0.015,7000,90,"*  "," V501 Mon"
141," IM Mon",p,95.75612499999998,-3.2769749999999993,"B4V",5.506,0.24,3.151,0.04,4.182,0.022,17500,350,"** "," IM Mon"
142," IM Mon",s,95.75612499999998,-3.2769749999999993,"B6.5V",3.338,0.161,2.361,0.03,4.216,0.024,14500,550,"** "," IM Mon"
147," V578 Mon",p,98.00254166666666,4.878027777777777,"B1V",14.54,0.08,5.41,0.04,4.135,0.007,30000,500,"*  "," V578 Mon"
148," V578 Mon",s,98.00254166666666,4.878027777777777,"B",10.29,0.06,4.29,0.05,4.186,0.01,25750,435,"*  "," V578 Mon"
175," MG1-506664",p,115.79820833333332,3.2728027777777773,"M1V",0.584,0.002,0.559,0.002,4.71,0.003,3730,90,"*  "," MOTESS-GNAT 506664"
176," MG1-506664",s,115.79820833333332,3.2728027777777773,"M2V",0.544,0.002,0.512,0.004,4.755,0.007,3610,90,"*  "," MOTESS-GNAT 506664"
103," TYC 4749-560-1",p,73.26845833333333,-7.006519444444444,"K2",0.834,0.006,0.848,0.005,4.503,0.006,5340,200,"*  "," TYC 4749-560-1"
104," TYC 4749-560-1",s,73.26845833333333,-7.006519444444444,"K4",0.828,0.006,0.833,0.005,4.515,0.006,5125,200,"*  "," TYC 4749-560-1"
127," GG Ori",p,85.79258333333333,0.6874722222222222,"A2V",2.342,0.016,1.852,0.025,4.273,0.012,9950,200,"*  "," GG Ori"
128," GG Ori",s,85.79258333333333,0.6874722222222222,"A2V",2.337,0.017,1.83,0.025,4.282,0.012,9950,200,"*  "," GG Ori"
101," MG1-116309",p,72.00399999999999,3.2966916666666664,"K8V",0.567,0.002,0.552,0.008,4.708,0.013,3920,80,"*  "," MOTESS-GNAT 116309"
102," MG1-116309",s,72.00399999999999,3.2966916666666664,"M0V",0.532,0.002,0.532,0.006,4.712,0.01,3810,80,"*  "," MOTESS-GNAT 116309"
113," EW Ori",p,80.038125,2.0444361111111107,"G0V",1.173,0.011,1.169,0.005,4.372,0.006,6070,95,"*  "," EW Ori"
114," EW Ori",s,80.038125,2.0444361111111107,"G5V",1.123,0.009,1.098,0.005,4.408,0.005,5900,95,"*  "," EW Ori"
115," 2MASS J05282082+0338327",p,82.08675,3.6424444444444437,"K1V",1.366,0.011,1.835,0.01,4.047,0.006,5103,26,"*  "," 2MASS J05282082+0338327"
116," 2MASS J05282082+0338327",s,82.08675,3.6424444444444437,"K3V",1.327,0.008,1.735,0.01,4.083,0.006,4751,26,"*  "," 2MASS J05282082+0338327"
65," SDSS-MEB-1",p,49.59949999999999,-1.005111111111111,"M4V",0.272,0.02,0.268,0.009,5.017,0.043,3320,130,"***"," SDSS-MEB-1"
66," SDSS-MEB-1",s,49.59949999999999,-1.005111111111111,"M4V",0.24,0.022,0.248,0.008,5.03,0.049,3300,130,"***"," SDSS-MEB-1"
61," TV Cet",p,48.65212499999999,2.754555555555555,"F2V",1.385,0.052,1.484,0.02,4.237,0.02,6902,150,"** "," TV Cet"
62," TV Cet",s,48.65212499999999,2.754555555555555,"F5V",1.265,0.051,1.221,0.01,4.367,0.019,6575,150,"** "," TV Cet"
67," MG1-78457",p,51.58637499999999,3.210080555555555,"M3V",0.527,0.002,0.505,0.008,4.754,0.014,3330,60,"*  "," MOTESS-GNAT 78457"
68," MG1-78457",s,51.58637499999999,3.210080555555555,"M4V",0.491,0.001,0.471,0.009,4.783,0.017,3270,60,"*  "," MOTESS-GNAT 78457"
79," V1130 Tau",p,57.67474999999999,1.563947222222222,"F0",1.306,0.008,1.49,0.01,4.208,0.006,6650,70,"*  "," V1130 Tau"
80," V1130 Tau",s,57.67474999999999,1.563947222222222,"F0",1.392,0.008,1.784,0.011,4.079,0.006,6625,70,"*  "," V1130 Tau"
135," V1388 Ori",p,92.74654166666666,11.994858333333331,"B2.5IV-V",7.421,0.08,5.604,0.04,3.812,0.008,20500,500,"*  "," V1388 Ori"
136," V1388 Ori",s,92.74654166666666,11.994858333333331,"B3V",5.156,0.03,3.763,0.03,4.0,0.007,18500,500,"*  "," V1388 Ori"
137," FT Ori",p,93.49229166666666,21.427549999999997,"A0",2.168,0.022,1.871,0.013,4.23,0.007,9600,400,"*  "," FT Ori"
138," FT Ori",s,93.49229166666666,21.427549999999997,"A2",1.773,0.02,1.626,0.013,4.265,0.008,8600,300,"*  "," FT Ori"
99," 2MASS J04463285+1901432",p,71.63691666666665,19.028666666666663,"M2.5V",0.467,0.05,0.56,0.02,4.611,0.056,3320,150,"2  "," 2MASS J04463285+1901432"
100," 2MASS J04463285+1901432",s,71.63691666666665,19.028666666666663,"M",0.192,0.02,0.21,0.01,5.077,0.061,2900,150,"***"," 2MASS J04463285+1901432"
109," CD Tau",p,79.37979166666666,20.131841666666663,"F6V",1.441,0.016,1.798,0.017,4.087,0.01,6200,50,"*  "," CD Tau"
110," CD Tau",s,79.37979166666666,20.131841666666663,"F6V",1.366,0.016,1.584,0.02,4.174,0.012,6200,50,"*  "," CD Tau"
107," V1236 Tau",p,79.12004166666665,26.12744444444444,"K7V",0.788,0.01,0.766,0.015,4.566,0.018,4200,200,"*  "," V1236 Tau"
108," V1236 Tau",s,79.12004166666665,26.12744444444444,"K7V",0.771,0.008,0.803,0.01,4.516,0.012,4133,250,"*  "," V1236 Tau"
149," WW Aur",p,98.11324999999998,32.454897222222215,"A4m",1.964,0.007,1.928,0.011,4.161,0.005,7960,420,"*  "," WW Aur"
150," WW Aur",s,98.11324999999998,32.454897222222215,"A5m",1.814,0.007,1.842,0.011,4.166,0.005,7670,410,"*  "," WW Aur"
253," VV Crv",p,190.31645833333332,-13.013888888888888,"F5V",1.978,0.01,3.375,0.01,3.678,0.003,6500,200,"*  "," VV Crv"
254," VV Crv",s,190.31645833333332,-13.013888888888888,"F5V",1.513,0.008,1.65,0.008,4.183,0.005,6638,200,"*  "," VV Crv"
239," chi02 Hya",p,166.48987499999998,-27.287852777777776,"B8",3.605,0.08,4.484,0.041,3.692,0.012,11750,190,"*  "," chi02 Hya"
240," chi02 Hya",s,166.48987499999998,-27.287852777777776,"B9",2.632,0.05,2.206,0.041,4.171,0.018,11100,230,"*  "," chi02 Hya"
265," EPIC 212651213A",p,208.93112499999998,-9.41828611111111," ",0.94,0.06,0.86,0.12,4.542,0.124,5475,200,"***"," EPIC 212651213"
266," EPIC 212651213A",s,208.93112499999998,-9.41828611111111," ",0.89,0.05,0.8,0.09,4.582,0.101,5250,200,"***"," EPIC 212651213"
269," BH Vir",p,209.6035833333333,-1.6608194444444442,"F8V",1.178,0.018,1.228,0.05,4.331,0.036,6100,100,"** "," BH Vir"
270," BH Vir",s,209.6035833333333,-1.6608194444444442,"G5V",1.05,0.015,1.118,0.04,4.363,0.032,5500,200,"** "," BH Vir"
255," IM Vir",p,192.41124999999997,-6.079127777777777,"G7V",0.981,0.012,1.062,0.016,4.378,0.014,5570,100,"*  "," IM Vir"
256," IM Vir",s,192.41124999999997,-6.079127777777777,"K7V",0.664,0.005,0.681,0.013,4.594,0.017,4250,130,"*  "," IM Vir"
257," HY Vir",p,197.12466666666663,-2.6789944444444442,"F0m",1.838,0.009,2.83,0.008,3.799,0.003,7870,,"*  "," HY Vir"
258," HY Vir",s,197.12466666666663,-2.6789944444444442,"F5V",1.404,0.006,1.532,0.008,4.215,0.005,6546,,"*  "," HY Vir"
245," FM Leo",p,168.18787499999996,0.34801111111111105,"F9V",1.318,0.007,1.649,0.043,4.124,0.023,6316,240,"*  "," FM Leo"
246," FM Leo",s,168.18787499999996,0.34801111111111105,"F9V",1.287,0.007,1.512,0.049,4.189,0.028,6190,211,"** "," FM Leo"
